Year,Month,Temperature,Anomaly
1916,4,3.700,-0.968
1916,5,7.300,-3.308
1916,6,15.700,1.458
1916,7,19.600,1.192
1916,8,21.500,1.707
1916,9,16.200,0.030
1916,10,10.100,0.526
1916,11,4.100,1.875
1916,12,-2.300,1.608
1917,1,-6.000,1.816
1917,2,-7.600,-0.084
1917,3,-4.300,-1.696
1917,4,2.800,-1.868
1917,5,8.100,-2.508
1917,6,11.600,-2.642
1917,7,15.700,-2.708
1917,8,19.600,-0.193
1917,9,15.100,-1.070
1917,10,11.000,1.426
1917,11,2.100,-0.125
1917,12,-0.800,3.108
1918,1,-5.300,2.516
1918,2,-5.400,2.116
1918,3,-1.900,0.704
1918,4,3.600,-1.068
1918,5,8.300,-2.308
1918,6,13.500,-0.742
1918,7,17.100,-1.308
1918,8,19.500,-0.293
1918,9,17.700,1.530
1918,10,10.300,0.726
1918,11,2.300,0.075
1918,12,-5.100,-1.192
1919,1,-7.500,0.316
1919,2,-6.900,0.616
1919,3,-3.100,-0.496
1919,4,2.900,-1.768
1919,5,9.000,-1.608
1919,6,12.100,-2.142
1919,7,18.600,0.192
1919,8,17.900,-1.893
1919,9,16.500,0.330
1919,10,10.600,1.026
1919,11,4.200,1.975
1919,12,-1.700,2.208
1920,1,-3.200,4.616
1920,2,-7.300,0.216
1920,3,-1.800,0.804
1920,4,3.000,-1.668
1920,5,8.100,-2.508
1920,6,14.500,0.258
1920,7,19.100,0.692
1920,8,20.900,1.107
1920,9,15.300,-0.870
1920,10,9.500,-0.074
1920,11,3.800,1.575
1920,12,-4.200,-0.292
1921,1,-6.900,0.916
1921,2,-6.800,0.716
1921,3,-4.000,-1.396
1921,4,4.600,-0.068
1921,5,8.100,-2.508
1921,6,10.100,-4.142
1921,7,19.100,0.692
1921,8,19.000,-0.793
1921,9,16.400,0.230
1921,10,9.800,0.226
1921,11,1.800,-0.425
1921,12,-3.300,0.608
1922,1,-11.200,-3.384
1922,2,-4.200,3.316
1922,3,-3.800,-1.196
1922,4,3.600,-1.068
1922,5,7.000,-3.608
1922,6,13.700,-0.542
1922,7,17.900,-0.508
1922,8,19.900,0.107
1922,9,15.800,-0.370
1922,10,10.600,1.026
1922,11,3.100,0.875
1922,12,-3.100,0.808
1923,1,-8.200,-0.384
1923,2,-8.800,-1.284
1923,3,-1.700,0.904
1923,4,4.000,-0.668
1923,5,8.900,-1.708
1923,6,11.700,-2.542
1923,7,16.000,-2.408
1923,8,20.000,0.207
1923,9,16.100,-0.070
1923,10,10.000,0.426
1923,11,3.500,1.275
1923,12,-2.700,1.208
1924,1,-7.800,0.016
1924,2,-8.300,-0.784
1924,3,-7.100,-4.496
1924,4,4.800,0.132
1924,5,6.000,-4.608
1924,6,10.500,-3.742
1924,7,21.100,2.692
1924,8,20.300,0.507
1924,9,16.000,-0.170
1924,10,9.300,-0.274
1924,11,3.000,0.775
1924,12,-3.300,0.608
1925,1,-6.000,1.816
1925,2,-8.100,-0.584
1925,3,-6.600,-3.996
1925,4,2.700,-1.968
1925,5,7.400,-3.208
1925,6,15.200,0.958
1925,7,16.800,-1.608
1925,8,21.600,1.807
1925,9,16.600,0.430
1925,10,10.500,0.926
1925,11,3.600,1.375
1925,12,-1.500,2.408
1926,1,-5.900,1.916
1926,2,-5.800,1.716
1926,3,-2.600,0.004
1926,4,1.000,-3.668
1926,5,7.200,-3.408
1926,6,11.900,-2.342
1926,7,15.600,-2.808
1926,8,17.500,-2.293
1926,9,15.200,-0.970
1926,10,7.400,-2.174
1926,11,2.200,-0.025
1926,12,-2.500,1.408
1927,1,-6.400,1.416
1927,2,-9.900,-2.384
1927,3,-2.900,-0.296
1927,4,4.500,-0.168
1927,5,8.500,-2.108
1927,6,13.200,-1.042
1927,7,19.000,0.592
1927,8,20.300,0.507
1927,9,15.800,-0.370
1927,10,10.900,1.326
1927,11,4.100,1.875
1927,12,-3.000,0.908
1928,1,-5.200,2.616
1928,2,-8.300,-0.784
1928,3,-2.800,-0.196
1928,4,3.800,-0.868
1928,5,10.000,-0.608
1928,6,11.900,-2.342
1928,7,18.600,0.192
1928,8,20.900,1.107
1928,9,18.000,1.830
1928,10,11.500,1.926
1928,11,3.600,1.375
1928,12,-4.000,-0.092
1929,1,-7.900,-0.084
1929,2,-9.000,-1.484
1929,3,-3.000,-0.396
1929,4,2.200,-2.468
1929,5,6.800,-3.808
1929,6,11.800,-2.442
1929,7,19.400,0.992
1929,8,18.700,-1.093
1929,9,15.200,-0.970
1929,10,10.600,1.026
1929,11,3.600,1.375
1929,12,-2.200,1.708
1930,1,-9.100,-1.284
1930,2,-6.500,1.016
1930,3,-1.500,1.104
1930,4,3.300,-1.368
1930,5,8.300,-2.308
1930,6,11.900,-2.342
1930,7,18.100,-0.308
1930,8,19.900,0.107
1930,9,16.300,0.130
1930,10,10.700,1.126
1930,11,2.700,0.475
1930,12,-4.400,-0.492
1931,1,-9.800,-1.984
1931,2,-11.700,-4.184
1931,3,-3.100,-0.496
1931,4,1.900,-2.768
1931,5,6.200,-4.408
1931,6,10.400,-3.842
1931,7,12.300,-6.108
1931,8,20.200,0.407
1931,9,16.100,-0.070
1931,10,10.700,1.126
1931,11,3.500,1.275
1931,12,-3.000,0.908
1932,1,-3.800,4.016
1932,2,-6.700,0.816
1932,3,-2.900,-0.296
1932,4,3.100,-1.568
1932,5,9.600,-1.008
1932,6,14.100,-0.142
1932,7,13.700,-4.708
1932,8,17.500,-2.293
1932,9,13.800,-2.370
1932,10,10.700,1.126
1932,11,5.000,2.775
1932,12,-1.900,2.008
1933,1,-7.200,0.616
1933,2,-9.000,-1.484
1933,3,-4.800,-2.196
1933,4,2.600,-2.068
1933,5,9.300,-1.308
1933,6,12.100,-2.142
1933,7,19.800,1.392
1933,8,21.300,1.507
1933,9,15.500,-0.670
1933,10,9.100,-0.474
1933,11,3.600,1.375
1933,12,-1.800,2.108
1934,1,-4.400,3.416
1934,2,-6.200,1.316
1934,3,-2.800,-0.196
1934,4,3.200,-1.468
1934,5,8.400,-2.208
1934,6,13.900,-0.342
1934,7,14.400,-4.008
1934,8,17.700,-2.093
1934,9,15.200,-0.970
1934,10,9.000,-0.574
1934,11,4.100,1.875
1934,12,-2.700,1.208
1935,1,-5.800,2.016
1935,2,-3.800,3.716
1935,3,-1.400,1.204
1935,4,3.700,-0.968
1935,5,8.000,-2.608
1935,6,11.400,-2.842
1935,7,16.700,-1.708
1935,8,17.100,-2.693
1935,9,15.900,-0.270
1935,10,12.000,2.426
1935,11,3.000,0.775
1935,12,-4.600,-0.692
1936,1,-6.300,1.516
1936,2,-6.700,0.816
1936,3,-2.700,-0.096
1936,4,3.000,-1.668
1936,5,7.900,-2.708
1936,6,14.300,0.058
1936,7,16.900,-1.508
1936,8,19.500,-0.293
1936,9,17.000,0.830
1936,10,10.700,1.126
1936,11,3.400,1.175
1936,12,-2.300,1.608
1937,1,-6.100,1.716
1937,2,-4.500,3.016
1937,3,-2.800,-0.196
1937,4,3.800,-0.868
1937,5,7.700,-2.908
1937,6,11.300,-2.942
1937,7,20.600,2.192
1937,8,19.700,-0.093
1937,9,15.400,-0.770
1937,10,10.300,0.726
1937,11,3.300,1.075
1937,12,-4.300,-0.392
1938,1,-6.600,1.216
1938,2,-6.400,1.116
1938,3,-1.500,1.104
1938,4,4.400,-0.268
1938,5,10.600,-0.008
1938,6,12.500,-1.742
1938,7,17.500,-0.908
1938,8,22.800,3.007
1938,9,17.000,0.830
1938,10,10.100,0.526
1938,11,3.000,0.775
1938,12,-5.100,-1.192
1939,1,-8.200,-0.384
1939,2,-8.200,-0.684
1939,3,-3.500,-0.896
1939,4,3.700,-0.968
1939,5,7.800,-2.808
1939,6,13.700,-0.542
1939,7,18.800,0.392
1939,8,20.400,0.607
1939,9,17.400,1.230
1939,10,9.700,0.126
1939,11,3.800,1.575
1939,12,-3.100,0.808
