Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
200.0;Pierre BOUNIN;62-64, boulevard Saint-Michel 75006 Paris;NULL;75006.0;48.844578, 2.339091
1107.0;Jean BOURRAT;29, rue Belgrand 75020 Paris;(plaque déposée);75020.0;48.864694, 2.406344
1219.0;Eleves de ces ecoles morts en déportation parce que nés juifs;stèle square Edouard Vaillant 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.849868, 2.405595
16.0;Madeleine, Nordmann LEVY;390 rue saint-Honoré 75001 Paris;NULL;75001.0;48.867735, 2.325462
472.0;Eleves de ces ecoles morts en déportation parce que nés juifs;49bis rue Louis-Blanc 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.882464, 2.362401
82.0;Eleves de ces ecoles morts en déportation parce que nés juifs;6 rue Paul dubois 75003 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75003.0;48.86533, 2.361359
71.0;MONUMENTS AUX MORTS;Poste de police du 3ème arrondissement 75003 Paris;Rue Perrée (face au Carreau du Temple);75003.0;48.863725, 2.362681
72.0;Raymond MUNIER;170, rue du Temple 75003 Paris;NULL;75003.0;48.866448, 2.36175
449.0;Georges TOMPOUSKY;16, rue du Paradis 75010 Paris;NULL;75010.0;48.874752, 2.353805
529.0;Eleves de ces ecoles morts en déportation parce que nés juifs;39 rue Alexandre Dumas 75011 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.853745, 2.393242
659.0;GARDE REPUBLICAINE;146, blvd de l'hopital Mairie du XIIIeme hall interieur 75013 Paris;NULL;75013.0;48.828474, 2.38024
909.0;Eleves de ces ecoles morts en déportation parce que nés juifs;18 rue Ampére 75017 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75017.0;48.885318, 2.304933
971.0;Eleves de ces ecoles morts en déportation parce que nés juifs;1 rue foyatier 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.884673, 2.342389
986.0;Eleves de ces ecoles morts en déportation parce que nés juifs;65 rue Damrémont 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.891953, 2.335055
1066.0;André PLUMET M. ET MME;33, rue de Flandres 75019 Paris;NULL;75019.0;48.88622, 2.3710620000000002
1203.0;Eleves de ces ecoles morts en déportation parce que nés juifs;31 rue des maraichers 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.850983, 2.407179
1177.0;Eleves de ces ecoles morts en déportation parce que nés juifs;293 rue des Pyrénées;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.869368, 2.394918
260.0;Bertie ALBRECHT;16, rue de l'Université 75007 Paris;NULL;75007.0;48.856824, 2.330488
282.0;Jacques HARDY;11, avenue de Lowendal 75007 Paris;NULL;75007.0;48.851464, 2.306831
331.0;Emile LAFFON;Place Beauvau Ministère de l'Intérieur 75008 Paris;NULL;75008.0;48.871305, 2.316405
412.0;GUERRE 1939-1945;Gare de l'Est Départ grandes lignes 75010 Paris;NULL;75010.0;48.878422, 2.35764
615.0;Eleves de ces ecoles morts en déportation parce que nés juifs;27 rue de Reuilly 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.847964, 2.386407
846.0;Paul GUERRE;49, avenue d'Iéna 75016 Paris;NULL;75016.0;48.869832, 2.295429
855.0;Georges MANDEL;place du Trocadéro 75016 Paris;NULL;75016.0;48.862507, 2.282278
249.0;Jean, Bessot ROBEAUX;Jardin du Luxembourg 75006 Paris;NULL;75006.0;48.84344, 2.325919
251.0;René SAHORS;47, rue Jacob 75006 Paris;NULL;75006.0;48.856176, 2.331929
122.0;René LABOUDANCE;Face au 42, rue de Rivoli Mairie du IVème arrondissement 75004 Paris;NULL;75004.0;48.856572, 2.355876
108.0;DEDIEU, LECOMTE,...;Rue Schomberg Caserne Schomberg 75004 Paris;(cour intérieure);75004.0;48.849183, 2.363159
135.0;Charles PEZIN;27, rue François Miron 75004 Paris;NULL;75004.0;48.855581, 2.357659
277.0;Jean-baptiste FERRACCI;rue Robert Esnault-Pelterie 75007 Paris;NULL;75007.0;48.862089, 2.315067
193.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Lycée henri IV, 23 rue Clovis 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.846358, 2.3473829999999998
770.0;Eleves de ces ecoles morts en déportation parce que nés juifs;20 rue Chantin 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.827255, 2.322644
749.0;MEMORIAL;prison de la sante 75014 Paris;NULL;75014.0;48.83264, 2.341393
710.0;Eleves de ces ecoles morts en déportation parce que nés juifs;13 rue Vulpian 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.83154, 2.34649
798.0;Albert HERVE;184, rue de la Croix-Nivert 75015 Paris;NULL;75015.0;48.839518, 2.289856
989.0;Eleves de ces ecoles morts en déportation parce que nés juifs;9 rue Richomme 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.886399, 2.352132
1154.0;Jean-jacques ROTSTEIN;46, rue Pixerécourt 75020 Paris;NULL;75020.0;48.872558, 2.3957319999999998
1038.0;Léon GOLDBERG;37 rue de Meaux 75019 Paris;NULL;75019.0;48.880259, 2.372434
1024.0;Marcel COLIN;4, rue du Plateau 75019 Paris;NULL;75019.0;48.878013, 2.385216
6.0;Les CLOCHES DES HALLES;14, rue Sauval 75001 Paris;NULL;75001.0;48.862003, 2.342586
167.0;JEUNES FILLES JUIVES;9, rue Vauquelin 75005 Paris;NULL;75005.0;48.84108, 2.347553
170.0;PERRONY;Place Valhubert 75005 Paris;(sur la grille du Jardin des Plantes,entrée à  gauche);75005.0;48.844417, 2.364507
341.0;André PROCHASSON;116, avenue des Champs-Elysées 75008 Paris;NULL;75008.0;48.872265, 2.300938
356.0;Honoré D' ESTIENNE D'ORVES;Square de la Trinité 75009 Paris;NULL;75009.0;48.877644, 2.331017
426.0;Jacques LOUVEL-TESSIER;196, rue Saint- Maur 75010 Paris;NULL;75010.0;48.871924, 2.3719609999999998
461.0;Eleves de ces ecoles morts en déportation parce que nés juifs;maternelle rue Legouvé 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.872355999999996, 2.361878
594.0;72ème Et 73ème R.A.D.C.;Fort de Vincennes 75012 Paris;NULL;75012.0;48.842349, 2.442207
